Gene,Coordinates
LOC112840942,2:46871950-46872244
LOC112840941,2:46849810-46850104
LOC112840940,2:46351810-46352104
LOC112840939,2:46283750-46284044
LOC112840938,2:46269630-46269924
LOC112840937,2:45960090-45960384
LOC112840936,2:45650950-45651244
LOC112840935,2:43676370-43676664
LOC112840932,2:42674049-42674343
LOC112840931,2:39181408-39181702
LOC112840930,2:38827687-38827981
LOC112840929,2:38436247-38436541
LOC112840927,2:36659986-36660280
LOC112840926,2:33678502-33678796
LOC112840925,2:33015442-33015736
LOC112840924,2:32865562-32865856
LOC112840923,2:28596762-28597056
LOC112840922,2:27537382-27537676
LOC112840921,2:26463621-26463915
LOC112840920,2:240586512-240586806
LOC112840919,2:240434032-240434326
LOC112840918,2:240256332-240256626
LOC112840917,2:24482700-24482994
LOC112840916,2:24399460-24399754
LOC112840915,2:238864208-238864502
LOC112840914,2:238098488-238098782
LOC112840913,2:236968106-236968400
LOC112840912,2:236001525-236001819
LOC112840911,2:235595485-235595779
LOC112840910,2:234863405-234863699
LOC112840909,2:233426703-233426997
LOC112840908,2:231749959-231750253
LOC112840907,2:23127458-23127752
LOC112840906,2:226650133-226650427
LOC112840905,2:226159933-226160227
LOC112840904,2:226115133-226115427
LOC112840903,2:223699632-223699926
LOC112840902,2:223613051-223613345
LOC112840901,2:223563531-223563825
LOC112840900,2:222860751-222861045
LOC112806081,2:219684687-219684981
LOC112806079,2:217785446-217785740
LOC112806078,2:217331686-217331980
LOC112806077,2:216412246-216412540
LOC112806076,2:215772046-215772340
LOC112806075,2:215620086-215620380
LOC112806074,2:205734465-205734759
LOC112806072,2:20106808-20107102
LOC112806071,2:197929345-197929639
LOC112806070,2:196400205-196400499
LOC112806069,2:195695185-195695479
LOC112806068,2:191869263-191869557
LOC112806067,2:191867023-191867317
LOC112806066,2:191377283-191377577
LOC112806065,2:190277623-190277917
LOC112806064,2:188298942-188299236
LOC112806063,2:181810862-181811156
LOC112806062,2:177906122-177906416
LOC112806061,2:177168321-177168615
LOC112806060,2:174039921-174040215
LOC112806059,2:172552821-172553115
LOC112806058,2:170362899-170363193
LOC112806057,2:164514519-164514813
LOC112806056,2:161085218-161085512
LOC112806055,2:152405275-152405569
LOC112806054,2:151782655-151782949
LOC112806051,2:144427162-144427456
LOC112806050,2:132859636-132859930
LOC112806048,2:132416436-132416730
LOC112806047,2:129877436-129877730
LOC112806046,2:128446475-128446769
LOC112806045,2:127064773-127065067
LOC112806044,2:120603993-120604287
LOC112806043,2:119759613-119759907
LOC112806042,2:12006903-12007197
LOC112806041,2:118222033-118222327
LOC112806040,2:117814453-117814747
LOC112806039,2:113088592-113088886
LOC112806038,2:112790292-112790586
LOC112806037,2:111975192-111975486
LOC112695115,2:109558612-109558906
LOC112695114,2:109290933-109291227
LOC112695113,2:109267013-109267307
LOC112695112,2:108662173-108662467
LOC112695111,2:106283433-106283727
LOC112695110,2:104976871-104977165
LOC112695108,22:48945777-48946071
LOC112695107,22:48605877-48606171
LOC112695106,22:47678180-47678474
LOC112695105,22:45639049-45639343
LOC112695104,22:45627589-45627883
LOC112695103,22:45140088-45140382
LOC112695102,22:42959703-42959997
LOC112695101,22:42940223-42940517
LOC112695100,22:42520703-42520997
LOC112695099,22:42369243-42369537
LOC112695098,22:41512845-41513139
LOC112695097,22:41290645-41290939
LOC112695096,22:40711605-40711899
LOC112695095,22:39490184-39490478
LOC112695094,22:39254844-39255138
LOC112695093,22:39148884-39149178
LOC112695092,22:38181782-38182076
LOC112695089,22:36387984-36388278
LOC112695088,22:35328576-35328870
LOC112695087,22:32882022-32882316
LOC112695086,22:31750063-31750357
LOC112695085,22:31630363-31630657
LOC112695084,22:30806502-30806796
LOC112695081,22:30609322-30609616
LOC112695079,22:30212520-30212814
LOC112695077,22:29569180-29569474
LOC112695076,22:29197121-29197415
LOC112695075,22:28868421-28868715
LOC112695074,22:28567121-28567415
LOC112694772,22:26835946-26836240
LOC112694771,22:26239583-26239877
LOC112694770,22:23888362-23888656
LOC112694768,22:21982672-21982966
LOC112694767,22:20979400-20979694
LOC112694766,22:19951646-19951940
LOC112694764,22:19947746-19948040
LOC112694754,21:46296375-46296669
LOC112694753,21:46228815-46229109
LOC112694752,21:45364074-45364368
LOC112694751,21:44549026-44549320
LOC112694750,21:43494609-43494903
LOC112694749,21:41768669-41768963
LOC112694748,21:38476446-38476740
LOC112694747,21:38229467-38229761
LOC112694746,21:38224167-38224461
LOC112694745,21:38171775-38172069
LOC112694744,21:37563847-37564141
LOC112694740,21:34375270-34375564
LOC112694736,21:32392920-32393214
LOC112694735,21:29099968-29100262
LOC112694734,21:17472671-17472965
LOC112694733,21:15753070-15753364
LOC112694732,21:15455890-15456184
LOC112694731,20:1005646-1005940
LOC112694730,20:9136162-9136456
LOC112694729,20:7585082-7585376
LOC112694728,20:63978796-63979090
LOC112694727,20:63553356-63553650
LOC112694726,20:62321453-62321747
LOC112694725,20:61771773-61772067
LOC112694724,20:58623913-58624207
LOC112694723,20:55471411-55471705
LOC112694722,20:53331550-53331844
LOC112694721,20:50993112-50993406
LOC112694720,20:49278392-49278686
LOC112694718,20:47356665-47356959
LOC112694717,20:47181341-47181635
LOC112694716,20:44521968-44522262
LOC112694715,20:44089989-44090283
LOC112694714,20:43959269-43959563
LOC112694713,20:4926203-4926497
LOC112694712,20:4075062-4075356
LOC112694711,20:40668669-40668963
LOC112694710,20:39070446-39070740
LOC112694709,20:38426041-38426340
LOC112694708,20:36183227-36183521
LOC112694707,20:35305706-35306000
LOC112694706,20:33811023-33811317
LOC112694705,20:33779063-33779357
LOC112694704,20:32681367-32681661
LOC112694703,20:32574487-32574781
LOC112694702,20:32152846-32153140
LOC112694701,20:31909606-31909900
LOC112694700,20:31713326-31713620
LOC112694699,20:3799462-3799756
LOC112694698,20:3781342-3781636
LOC112694697,20:3701642-3701936
LOC112694696,20:25237833-25238127
LOC112694695,20:25173973-25174267
LOC112694694,20:23350432-23350726
LOC112694693,20:23143112-23143406
LOC112694692,20:21096288-21096582
LOC112694691,20:20712786-20713080
LOC112694690,20:18585225-18585519
LOC112694689,20:13247342-13247636
LOC112694688,20:10592961-10593255
LOC112694687,20:10511641-10511935
LOC112590828,1:93979953-93980247
LOC112590827,1:93079032-93079326
LOC112590826,1:91732532-91732826
LOC112590825,1:9593911-9594205
LOC112590824,1:88647306-88647600
LOC112590823,1:8817590-8817884
LOC112590822,1:8211969-8212263
LOC112590821,1:8165709-8166003
LOC112590820,1:75092045-75092339
LOC112590819,1:70156606-70156900
LOC112590818,1:65412546-65412840
LOC112590817,1:64934306-64934600
LOC112590816,1:64915906-64916200
LOC112590815,1:64006717-64007011
LOC112590814,1:59730917-59731211
LOC112590813,1:6127709-6128003
LOC112590812,1:58883097-58883391
LOC112590810,1:56461397-56461691
LOC112590809,1:56448937-56449231
LOC112590808,1:54053236-54053530
LOC112590807,1:53957236-53957530
LOC112590806,1:53889736-53890030
LOC112590805,1:53393377-53393671
LOC112590804,1:52651997-52652291
LOC112590803,1:52007237-52007531
LOC112590802,1:51878717-51879011
LOC112590801,1:50873657-50873951
LOC112590800,1:45491157-45491451
LOC112590799,1:45134437-45134731
LOC112590795,1:44298097-44298391
LOC112590794,1:44213277-44213571
LOC112590793,1:43994837-43995131
LOC112590792,1:43929597-43929891
LOC112590791,1:43476118-43476412
LOC112590790,1:41331257-41331551
LOC112577599,1:40531437-40531731
LOC112577598,1:39899017-39899311
LOC112577597,1:39658077-39658371
LOC112577596,1:38859697-38859991
LOC112577595,1:38502837-38503131
LOC112577594,1:38489837-38490131
LOC112577591,1:38031457-38031751
LOC112577590,1:37556728-37557022
LOC112577589,1:37479688-37479982
LOC112577588,1:36446368-36446662
LOC112577587,1:36373808-36374102
LOC112577586,1:36269408-36269702
LOC112577585,1:35715508-35715802
LOC112577584,1:32725228-32725522
LOC112577583,1:32062468-32062762
LOC112577582,1:31715168-31715462
LOC112577581,1:3796385-3796679
LOC112577579,1:3313185-3313479
LOC112577578,1:3240945-3241239
LOC112577577,1:28775157-28775451
LOC112577576,1:28552797-28553091
LOC112577575,1:28369518-28369812
LOC112577574,1:27122658-27122952
LOC112577573,1:26997678-26997972
LOC112577572,1:26990678-26990972
LOC112577571,1:25895418-25895712
LOC112577570,1:24720118-24720412
LOC112577569,1:247331747-247332041
LOC112577568,1:247104307-247104601
LOC112577567,1:246978847-246979141
LOC112577566,1:243939247-243939541
LOC112577565,1:241191909-241192203
LOC112577564,1:24541059-24541353
LOC112577563,1:24365219-24365513
LOC112577561,1:236503169-236503463
LOC112577560,1:236097229-236097523
LOC112577559,1:235048142-235048436
LOC112577558,1:235011902-235012196
LOC112577557,1:234986962-234987256
LOC112577556,1:234700242-234700536
LOC112577555,1:234643123-234643417
LOC112577554,1:230332763-230333057
LOC112577552,1:230127002-230127296
LOC112577550,1:23544738-23545032
LOC112577548,1:228500968-228501262
LOC112577547,1:228490508-228490802
LOC112577546,1:228341068-228341362
LOC112577545,1:226828088-226828382
LOC112577544,1:224334047-224334341
LOC112577543,1:224160347-224160641
LOC112577542,1:212967827-212968121
LOC112577538,1:212596347-212596641
LOC112577537,1:211724787-211725081
LOC112577536,1:211616567-211616861
LOC112577535,1:210393705-210393999
LOC112577534,1:208219664-208219958
LOC112577533,1:207748124-207748418
LOC112577532,1:205850061-205850355
LOC112577531,1:203861381-203861675
LOC112577530,1:201888741-201889035
LOC112577529,1:201854481-201854775
LOC112577528,1:201828941-201829235
LOC112577527,1:201028561-201028855
LOC112577526,1:201019441-201019735
LOC112577525,1:2391550-2391844
LOC112577524,1:2255790-2256084
LOC112577523,1:188782238-188782532
LOC112577522,1:184051515-184051809
LOC112577521,1:183604234-183604528
LOC112577520,1:182962574-182962868
LOC112577519,1:181855454-181855748
LOC112577517,1:179882554-179882848
LOC112577515,1:174689591-174689885
LOC112577514,1:172499629-172499923
LOC112577513,1:171781349-171781643
LOC112577512,1:169576331-169576625
LOC112577511,1:169113631-169113925
LOC112577510,1:168320991-168321285
LOC112577509,1:164611832-164612126
LOC112577508,1:162144959-162145253
LOC112577507,1:160540199-160540493
LOC112577506,1:160108959-160109253
LOC112577505,1:16162434-16162728
LOC112577504,1:15800234-15800528
LOC112577503,1:158019559-158019853
LOC112577495,1:154860233-154860527
LOC112577494,1:151311553-151311847
LOC112577493,1:151265533-151265827
LOC112577492,1:150579513-150579807
LOC112577491,1:14952773-14953067
LOC112577490,1:148264714-148265009
LOC112577489,1:121184800-121185094
LOC112577488,1:12573881-12574175
LOC112577487,1:12541563-12541857
LOC112577486,1:11944312-11944606
LOC112577485,1:117929546-117929840
LOC112577484,1:116982287-116982581
LOC112577481,1:116418447-116418741
LOC112577480,1:115595868-115596162
LOC112577479,1:114458307-114458601
LOC112577478,1:112904067-112904361
LOC112577477,1:112698987-112699281
LOC112577476,1:111619527-111619821
LOC112577475,1:110341287-110341581
LOC112577473,1:109772107-109772401
LOC112577472,1:11926352-11926646
LOC112577471,1:109277467-109277761
LOC112577470,1:108200267-108200561
LOC112577469,1:1112509-1112803
LOC112577458,19:8631439-8631733
LOC112577457,19:7870103-7870397
LOC112577456,19:7507943-7508237
LOC112577455,19:6806558-6806852
LOC112577454,19:58475962-58476256
LOC112577453,19:58387042-58387336
LOC112577452,19:57246041-57246335
LOC112553119,19:56974881-56975175
LOC112553118,19:56368060-56368354
LOC112553117,19:56120340-56120634
LOC112553116,19:55809503-55809797
LOC112553115,19:55408121-55408415
LOC112553114,19:54430851-54431145
LOC112553113,19:53158956-53159250
LOC112553112,19:50994213-50994507
LOC112552178,19:50646412-50646706
LOC112552177,19:50639192-50639486
LOC112552176,19:5967978-5968272
LOC112552175,19:5903678-5903972
LOC112552174,19:5870998-5871292
LOC112552173,19:48999772-49000066
LOC112552172,19:48976272-48976566
LOC112552171,19:48950052-48950346
LOC112552170,19:48424812-48425106
LOC112552169,19:48403632-48403926
LOC112552168,19:48321832-48322126
LOC112552167,19:47896872-47897166
LOC112552166,19:47315372-47315666
LOC112552165,19:47210732-47211026
LOC112552164,19:47048631-47048925
LOC112552162,19:46788512-46788806
LOC112552161,19:46190032-46190326
LOC112552160,19:46000931-46001225
LOC112552159,19:45424351-45424645
LOC112552157,19:44685097-44685391
LOC112552156,19:44500457-44500751
LOC112552155,19:43784417-43784711
LOC112552154,19:43499097-43499391
LOC112552153,19:41563419-41563713
LOC112552152,19:41167144-41167438
LOC112552151,19:40897264-40897558
LOC112552150,19:40687524-40687818
LOC112552149,19:39996882-39997176
LOC112552148,19:4759797-4760091
LOC112543490,19:4145812-4146106
LOC112543489,19:38335569-38335863
LOC112543488,19:37779529-37779823
LOC112543487,19:37172627-37172921
LOC112543486,19:35948447-35948741
LOC112543485,19:35628847-35629141
LOC112543484,19:34319784-34320078
LOC112543483,19:29690982-29691276
LOC112543482,19:3691011-3691305
LOC112543481,19:3683591-3683885
LOC112543480,19:3162451-3162745
LOC112543479,19:28667622-28667916
LOC112543477,19:2619171-2619465
LOC112543476,19:2579411-2579705
LOC112543475,19:2494691-2494985
LOC112543473,19:19541180-19541474
LOC112543472,19:19459840-19460134
LOC112543471,19:19203320-19203614
LOC112543470,19:18596719-18597013
LOC112543469,19:18538139-18538433
LOC112543468,19:18373839-18374133
LOC112543467,19:18364919-18365213
LOC112543466,19:18318239-18318533
LOC112543465,19:18274879-18275173
LOC112543464,19:18064859-18065153
LOC112543463,19:17579940-17580234
LOC112543462,19:15379778-15380072
LOC112543461,19:14450477-14450771
LOC112543459,19:13492255-13492549
LOC112543458,19:13185975-13186269
LOC112543454,19:12933615-12933909
LOC112543446,19:12551455-12551749
LOC112543445,19:11964814-11965108
LOC112543443,19:1897590-1897884
LOC112543441,19:1872370-1872664
LOC112543440,19:1855330-1855624
LOC112543439,19:1205410-1205704
LOC112543438,18:90449-90743
LOC112543437,18:9895572-9895866
LOC112543436,18:9743532-9743826
LOC112543435,18:8730411-8730705
LOC112543434,18:7038310-7038604
LOC112543433,18:70337133-70337427
LOC112543432,18:63970455-63970749
LOC112543431,18:604809-605103
LOC112543430,18:63065216-63065510
LOC112543429,18:57816217-57816511
LOC112543428,18:56641758-56642052
LOC112543427,18:51009119-51009413
LOC112543426,18:48873379-48873673
LOC112543425,18:48445538-48445832
LOC112543424,18:45897064-45897358
LOC112543423,18:4406069-4406363
LOC112543422,18:37540506-37540800
LOC112543421,18:34929265-34929559
LOC112543420,18:3652829-3653123
LOC112543419,18:3294751-3295045
LOC112540018,18:3060651-3060945
LOC112540017,18:26548485-26548779
LOC112540016,18:24076245-24076539
LOC112540015,18:23099665-23099959
LOC112540014,18:22467966-22468260
LOC112538445,18:2854151-2854445
LOC112538444,18:21111708-21112002
LOC112538443,18:13138010-13138304
LOC112538442,18:1191648-1191942
LOC112533687,17:82754973-82755267
LOC112533686,17:82205873-82206167
LOC112533685,17:8697391-8697685
LOC112533684,17:8543211-8543505
LOC112533683,17:8410291-8410585
LOC112533682,17:81821793-81822087
LOC112533681,17:81683699-81683993
LOC112533680,17:81119649-81119943
LOC112533679,17:81094829-81095123
LOC112533678,17:80856489-80856783
LOC112533677,17:79728607-79728901
LOC112533676,17:79062707-79063001
LOC112533675,17:78862307-78862601
LOC112533674,17:78317528-78317822
LOC112533673,17:75914928-75915222
LOC112533672,17:75830408-75830702
LOC112533671,17:75516308-75516602
LOC112533670,17:75453108-75453402
LOC112533669,17:75046914-75047208
LOC112533668,17:74931454-74931748
LOC112533667,17:74873044-74873338
LOC112533666,17:73291490-73291784
LOC112533665,17:7857471-7857765
LOC112533664,17:7329250-7329544
LOC112533663,17:69103648-69103942
LOC112533662,17:67784333-67784627
LOC112533661,17:67224013-67224307
LOC112533660,17:66414071-66414365
LOC112533659,17:66348591-66348885
LOC112533658,17:63436768-63437062
LOC112533657,17:6752110-6752724
LOC112533656,17:6191429-6191723
LOC112533655,17:59619688-59619982
LOC112533654,17:58304328-58304622
LOC112533653,17:58083148-58083442
LOC112533652,17:56960888-56961182
LOC112533651,17:50482508-50482802
LOC112533650,17:50181168-50181462
LOC112533649,17:50161488-50161782
LOC112533648,17:50151048-50151342
LOC112533647,17:48536927-48537221
LOC112533646,17:48522127-48522421
LOC112533645,17:47288543-47288837
LOC112533644,17:46742923-46743217
LOC112533643,17:46361703-46361997
LOC112533642,17:45371763-45372057
LOC112533641,17:44198261-44198555
LOC112533640,17:43778241-43778535
LOC112533639,17:43350901-43351195
LOC112533638,17:43216770-43217064
LOC112533637,17:42154971-42155265
LOC112529915,17:5055554-5055848
LOC112529914,17:40598597-40598891
LOC112529913,17:40362657-40362951
LOC112529912,17:38656996-38657290
LOC112529911,17:38415586-38415880
LOC112529910,17:37824789-37825083
LOC112529909,17:33942470-33942764
LOC112529908,17:33931210-33931504
LOC112529907,17:31802610-31802904
LOC112529906,17:29643411-29643705
LOC112529905,17:29639551-29639845
LOC112529904,17:29620311-29620605
LOC112529903,17:28743111-28743405
LOC112529902,17:28698391-28698685
LOC112529901,17:338938-339232
LOC112529900,17:18746616-18746910
LOC112529899,17:17710895-17711189
LOC112529898,17:17352275-17352569
LOC112529897,17:16285995-16286289
LOC112529896,17:15490835-15491129
LOC112529895,17:10697452-10697746
LOC112529894,17:10291572-10291866
LOC112529893,17:1783855-1784149
LOC112529892,17:1438755-1439049
LOC112486227,16:89994681-89994975
LOC112486226,16:9047812-9048106
LOC112486225,16:8996952-8997246
LOC112486224,16:8991992-8992286
LOC112486223,16:89816581-89816875
LOC112486222,16:88461981-88462275
LOC112486221,16:88333063-88333357
LOC112486220,16:88315783-88316077
LOC112486219,16:88240143-88240437
LOC112486218,16:88194063-88194357
LOC112486217,16:87850143-87850437
LOC112486216,16:87657663-87657957
LOC112486215,16:84190903-84191197
LOC112486214,16:82152584-82152878
LOC112486213,16:81718984-81719278
LOC112486212,16:81457804-81458098
LOC112486211,16:81424864-81425158
LOC112486210,16:81139444-81139738
LOC112486209,16:78428252-78428546
LOC112486208,16:77722352-77722646
LOC112486207,16:75256151-75256445
LOC112486206,16:73714190-73714484
LOC112486205,16:72936530-72936824
LOC112486204,16:70299006-70299300
LOC112486203,16:69530666-69530960
LOC112486202,16:69172906-69173200
LOC112486201,16:68772106-68772400
LOC112469016,16:66974886-66975180
LOC112469015,16:61595665-61595959
LOC112469014,16:59356765-59357059
LOC112469013,16:58459365-58459659
LOC112469012,16:58264945-58265239
LOC112469011,16:58001225-58001519
LOC112469010,16:57757217-57757511
LOC112469009,16:57735317-57735611
LOC112469008,16:57462537-57462831
LOC112469007,16:57447297-57447591
LOC112469006,16:57145657-57145951
LOC112469005,16:56991737-56992031
LOC112469004,16:56964637-56964931
LOC112469003,16:54193677-54193971
LOC112449717,16:53945957-53946251
LOC112449716,16:53881477-53881771
LOC112449715,16:49884018-49884312
LOC112449714,16:48300338-48300632
LOC112449713,16:47499658-47499952
LOC112449712,16:46919597-46919891
LOC112449709,16:46859917-46860211
LOC112441450,16:4624608-4624902
LOC112441449,16:336229-336523
LOC112441448,16:35221638-35221932
LOC112441447,16:31873628-31873922
LOC112441446,16:30698948-30699242
LOC112441444,16:30377708-30378002
LOC112352681,16:30355248-30355542
LOC112352680,16:29899448-29899742
LOC112352679,16:29645748-29646042
LOC112340393,16:28863268-28863562
LOC112340392,16:28596988-28597282
LOC112340391,16:24537508-24537802
LOC112340389,16:21153008-21153302
LOC112340388,16:2388848-2389142
LOC112340387,16:2214948-2215242
LOC112340386,16:2212448-2212742
LOC112340385,16:18576727-18577021
LOC112340383,16:16272632-16272926
LOC112340382,16:16022072-16022366
LOC112340381,16:15682132-15682426
LOC112340380,16:15563692-15563986
LOC112340379,16:15502292-15502586
LOC112340378,16:15094252-15094546
LOC112340377,16:15025212-15025506
LOC112296189,16:14415332-14415626
LOC112296188,16:12716712-12717006
LOC112296187,16:12426252-12426546
LOC112296186,16:12387392-12387686
LOC112296185,16:12148132-12148426
LOC112296184,16:12097552-12097846
LOC112296183,16:11640533-11640827
LOC112296182,16:11613793-11614087
LOC112296181,16:11497373-11497667
LOC112296180,16:11311732-11312026
LOC112296179,16:10626012-10626306
LOC112296178,15:98077240-98077534
LOC112296177,15:95557600-95557894
LOC112296176,15:92170939-92171233
LOC112296175,15:91291719-91292013
LOC112296174,15:90841019-90841313
LOC112296173,15:90040617-90040911
LOC112272623,15:88258298-88258592
LOC112272622,15:85413518-85413812
LOC112272621,15:80160647-80160941
LOC112272620,15:77599887-77600181
LOC112272619,15:76336508-76336802
LOC112272618,15:75823908-75824202
LOC112272617,15:75368488-75368782
LOC112272616,15:75140248-75140542
LOC112272615,15:74598288-74598582
LOC112272614,15:73697048-73697342
LOC112272613,15:72226708-72227002
LOC112272610,15:69627790-69628084
LOC112272609,15:69462730-69463024
LOC112272608,15:69305470-69305764
LOC112272607,15:68586290-68586584
LOC112272606,15:68206031-68206325
LOC112272605,15:65192071-65192365
LOC112272604,15:64248050-64248344
LOC112272603,15:62506250-62506544
LOC112272602,15:61681050-61681344
LOC112272600,15:59138210-59138504
LOC112272599,15:58332230-58332524
LOC112272598,15:58270030-58270324
LOC112272597,15:55279691-55279985
LOC112272596,15:53203492-53203786
LOC112272594,15:51121152-51121446
LOC112272593,15:51077592-51077886
LOC112272592,15:50003792-50004086
LOC112272591,15:45714911-45715205
LOC112272590,15:41917711-41918005
LOC112272587,15:41827951-41828245
LOC112272586,15:41490391-41490685
LOC112272585,15:40519790-40520084
LOC112272584,15:40002288-40002582
LOC112272583,15:34588328-34588622
LOC112272582,15:31236506-31236800
LOC112272581,15:29613965-29614259
LOC112272580,15:27468243-27468537
LOC112272579,15:24857742-24858036
LOC112272578,15:24773082-24773376
LOC112272576,15:22776025-22776319
LOC112272575,15:22873245-22873539
LOC112272574,15:100849584-100849878
LOC112272573,14:99378772-99379066
LOC112272572,14:97180352-97180646
LOC112272571,14:96363212-96363506
LOC112272570,14:94026163-94026457
LOC112272568,14:90513665-90513959
LOC112272567,14:90454405-90454699
LOC112272566,14:90396825-90397119
LOC112272561,14:89340145-89340439
LOC112272560,14:78627106-78627400
LOC112272559,14:77023546-77023840
LOC112272558,14:76267726-76268020
LOC112272557,14:75648346-75648640
LOC112272555,14:70020812-70021106
LOC112272554,14:69793012-69793306
LOC112272553,14:69713192-69713486
LOC112272552,14:68824912-68825206
LOC112272551,14:68786532-68786826
LOC112272550,14:67819612-67819906
LOC112272549,14:67680992-67681286
LOC112272548,14:64430051-64430345
LOC112272546,14:62692171-62692465
LOC112272545,14:60934231-60934525
LOC112268486,14:60094331-60094625
LOC112268485,14:55832051-55832345
LOC112268483,14:54944871-54945165
LOC112268482,14:53306251-53306545
LOC112268481,14:51989331-51989625
LOC112268480,14:51534651-51534945
LOC112268479,14:35331663-35331957
LOC112268478,14:34043763-34044057
LOC112267854,14:31270183-31270477
LOC112267853,14:30296923-30297217
LOC112267852,14:26841983-26842277
LOC112267851,14:24232263-24232557
LOC112267850,14:24213343-24213637
LOC112267849,14:23602360-23602654
LOC112214176,14:23035080-23035374
LOC112214175,14:22977700-22977994
LOC112214174,14:22849200-22849494
LOC112214171,14:22471579-22471873
LOC112163685,14:105027172-105027466
LOC112163684,14:103281492-103281786
LOC112163683,14:101412772-101413066
LOC112163682,14:100771192-100771486
LOC112163681,14:100398092-100398386
LOC112163680,14:100068552-100068846
LOC112163679,14:99606472-99606766
LOC112163676,13:95604175-95604469
LOC112163675,13:95535295-95535589
LOC112163674,13:90415235-90415529
LOC112163672,13:84399374-84399668
LOC112163671,13:77409474-77409768
LOC112163670,13:74287712-74288006
LOC112163669,13:74187632-74187926
LOC112163668,13:73090471-73090765
LOC112163667,13:68057157-68057451
LOC112163666,13:63625916-63626210
LOC112163665,13:60584335-60584629
LOC112163664,13:52850374-52850668
LOC112163663,13:52104673-52104967
LOC112163662,13:48066562-48066947
LOC112163658,13:45385934-45386228
LOC112163657,13:45056414-45056708
LOC112163656,13:41402613-41402907
LOC112163654,13:36324272-36324566
LOC112163653,13:32381592-32381886
LOC112163652,13:32046492-32046786
LOC112163651,13:28144652-28144946
LOC112163650,13:28139292-28139586
LOC112163649,13:24221091-24221385
LOC112163648,13:22454670-22454964
LOC112163647,13:20506870-20507164
LOC112163646,13:113187455-113187749
LOC112163645,13:112735835-112736129
LOC112163644,13:111046862-111047156
LOC112163643,13:109803022-109803316
LOC112163640,13:108215461-108215755
LOC112163639,13:100881295-100881589
LOC112163638,13:100392775-100393069
LOC112163637,13:99606455-99606749
LOC112163636,12:92034973-92035267
LOC112163635,12:85317871-85318165
LOC112163634,12:85016430-85016724
LOC112163633,12:79935029-79935323
LOC112163632,12:76764009-76764303
LOC112163631,12:72017109-72017403
LOC112163630,12:7666613-7666907
LOC112163629,12:62658949-62659243
LOC112163628,12:60577668-60577962
LOC112163626,12:6570303-6570597
LOC112163625,12:6337203-6337497
LOC112163623,12:6280003-6280297
LOC112163622,12:6230783-6231077
LOC112163621,12:6167823-6168117
LOC112163620,12:6070523-6070817
LOC112163619,12:58540546-58540840
LOC112163618,12:57454986-57455280
LOC112163617,12:57235106-57235400
LOC112163615,12:57093946-57094240
LOC112163613,12:56636885-56637179
LOC112163612,12:54159185-54159479
LOC112163609,12:53508605-53508899
LOC112163608,12:53379805-53380099
LOC112163607,12:53299505-53299799
LOC112163606,12:52147365-52147659
LOC112163605,12:52024785-52025079
LOC112163604,12:406843-407137
LOC112163602,12:51238605-51238899
LOC112163601,12:50933826-50934120
LOC112163600,12:50027306-50027600
LOC112163598,12:49967026-49967320
LOC112163597,12:389483-389777
LOC112163596,12:49130226-49130520
LOC112163595,12:47705966-47706260
LOC112163594,12:46430386-46430680
LOC112163552,12:4486143-4486437
LOC112163551,12:31756975-31757269
LOC112163550,12:31749235-31749529
LOC112163549,12:24226995-24227289
LOC112163548,12:22046035-22046329
LOC112163547,12:131230024-131230318
LOC112163546,12:130958724-130959018
LOC112163545,12:13526595-13526889
LOC112163544,12:13255755-13256049
LOC112163543,12:13165575-13165869
LOC112163542,12:128797504-128797798
LOC112163541,12:127943884-127944178
LOC112163540,12:124916343-124916637
LOC112163539,12:124636243-124636537
LOC112163538,12:124583903-124584197
LOC112163537,12:124422623-124422917
LOC112163535,12:123907842-123908136
LOC112163534,12:123506102-123506396
LOC112163533,12:122749922-122750216
LOC112163532,12:122226122-122226416
LOC112163531,12:122064063-122064357
LOC112163530,12:121128986-121129280
LOC112163529,12:120446286-120446580
LOC112163528,12:119423324-119423618
LOC112163527,12:118120884-118121178
LOC112163526,12:117518884-117519178
LOC112163525,12:114738864-114739158
LOC112136112,12:114242004-114242298
LOC112136111,12:112125285-112125579
LOC112136108,12:110102304-110102598
LOC112136107,12:110010944-110011238
LOC112136106,12:10901450-10901744
LOC112136105,12:108691633-108691927
LOC112136104,12:107134571-107134865
LOC112136103,12:106955571-106955865
LOC112136102,12:106288431-106288725
LOC112136101,12:100200611-100200905
LOC112136100,12:1804543-1804837
LOC112136097,11:95542885-95543179
LOC112136096,11:94136283-94136577
LOC112136095,11:93784103-93784397
LOC112136094,11:9139022-9139316
LOC112136093,11:86740627-86740921
LOC112136092,11:8688862-8689156
LOC112136091,11:78290263-78290557
LOC112136090,11:76911145-76911439
LOC112136089,11:76445725-76446019
LOC112136088,11:76177305-76177599
LOC112136083,11:73198664-73198958
LOC112136082,11:72025123-72025417
LOC112136081,11:7079758-7080052
LOC112136080,11:7072618-7072912
LOC112136078,11:69166581-69166875
LOC112081416,11:69122781-69123075
LOC112081415,11:68692201-68692495
LOC112081413,11:68030422-68030716
LOC112081412,11:66386178-66386472
LOC112081411,11:66289158-66289452
LOC112081410,11:65382298-65382592
LOC112081409,11:65117657-65117951
LOC112081408,11:64842997-64843291
LOC112081407,11:63531477-63531771
LOC112081406,11:61834557-61834851
LOC112081405,11:6606959-6607253
